Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
27.135,-6.95484462,-5.97683888,-453.64144047,0.5540146,0.97253763,-0.8211327,-9.42269162,8.92695798,-8.83896043,-12.40865258,19.73898141,4.40464936,0,19.87738367,-10.31889847,-6.52176675,-14.8875323,-1.04704259,1.59341397,0,0,0,0
27.14,-7.01965866,-5.91781351,-453.68020571,0.55426775,0.97179637,-0.81633364,-9.51131407,8.92136399,-8.74813328,-12.74640841,19.99792685,4.46824191,0,19.86482958,-10.33949525,-6.57691955,-14.14823511,-1.68115178,1.73874494,0,0,0,0
27.145,-7.06001092,-5.88671434,-453.70507625,0.5545798,0.97107408,-0.81152509,-9.5971148,8.85160895,-8.88790809,-13.14747514,20.31174088,4.87934409,0,19.82696716,-10.33410799,-6.6973618,-13.49130703,-2.31984832,1.95460645,0,0,0,0
27.15,-7.10497943,-5.83466082,-453.73123002,0.5548737,0.970341,-0.80675711,-9.66661644,8.8198475,-8.79662105,-13.52721558,20.55088079,4.92269458,0,19.80532175,-10.32499471,-6.75881022,-12.89680573,-2.96320027,2.0463907,0,0,0,0
27.155,-7.12717269,-5.78383675,-453.74486652,0.55523557,0.96959638,-0.8019943,-9.6998365,8.72639695,-8.92395557,-13.97699447,20.84143039,5.29520182,0,19.78201813,-10.28394197,-6.82305152,-12.37489994,-3.6024373,2.10716432,0,0,0,0
27.16,-7.14842381,-5.73642448,-453.75611406,0.55559651,0.96886458,-0.79724404,-9.7396809,8.64995519,-8.92026873,-14.41635986,21.09273252,5.47148075,0,19.75318858,-10.23736484,-6.86722041,-11.92760531,-4.22427945,2.09497382,0,0,0,0
27.165,-7.16403606,-5.68907269,-453.76649982,0.55596404,0.96813628,-0.79249621,-9.77621884,8.57168087,-8.87338312,-14.86041908,21.35082018,5.60869744,0,19.7251732,-10.1846218,-6.92252005,-11.5616331,-4.81685732,2.04024499,0,0,0,0
27.17,-7.17264023,-5.64348513,-453.77250436,0.55634634,0.96741658,-0.78775174,-9.80299733,8.48590467,-8.81624052,-15.32404345,21.59881748,5.73898369,0,19.69255131,-10.12062183,-6.96467332,-11.26783529,-5.37017458,1.92687336,0,0,0,0
27.175,-7.17263368,-5.59869668,-453.76370672,0.55677554,0.96670249,-0.78300904,-9.81291079,8.3833921,-8.8141436,-15.81780505,21.84094746,5.91937098,0,19.66046134,-10.03599647,-6.96486395,-11.04696441,-5.89131758,1.69431295,0,0,0,0
27.18,-7.17324044,-5.57111573,-453.77179594,0.55717229,0.96602721,-0.77825955,-9.84708258,8.29704062,-8.67499244,-16.30079858,22.07375186,5.95785477,0,19.61225374,-9.96880381,-7.06759369,-10.91754762,-6.32922337,1.5433583,0,0,0,0
