Time,accel_z,gyro_y,master_knee,target_knee,force_z
11.165,0.0558587320340553,-0.667000542298278,-21.97066769,-66.66497058,0.0
11.174999999999999,0.17669397683788926,-1.1687520951264276,-21.706535200000047,-66.96407359999996,0.0
11.184999999999999,0.00015222427220105972,-1.418468140157262,-21.403596080000057,-67.15001159999997,0.0
11.194999999999999,0.04254507766917795,-1.6796954828051198,-21.050900850000065,-67.17371833,0.0
11.204999999999998,0.05301030544404005,-1.98264583183603,-20.647286360000074,-66.99972453000004,0.0
11.214999999999998,-0.01624166089758318,-2.3070001102668285,-20.196156670000082,-66.60764238000009,0.0
11.224999999999998,-0.02504352289445763,-2.713268830732485,-19.703797950000087,-65.98734363000011,0.0
11.234999999999998,-0.04763490682566636,-3.070211223591143,-19.18412020000009,-65.14015373000015,0.0
11.244999999999997,-0.1154434859664793,-3.4417719164854628,-18.647437300000096,-64.0721409500002,0.0
11.254999999999997,-0.15514860676174272,-3.7285354047256574,-18.100647180000195,-62.791617570000476,0.0
11.264999999999997,-0.19060886332097193,-4.03663644057828,-17.559912980000192,-61.308261210000545,0.0
11.274999999999997,-0.21520354417180865,-4.335593670301407,-17.036808650000186,-59.63332166000061,0.0
11.284999999999997,-0.29363353951851473,-4.671268792361723,-16.55452151000016,-57.781600300000676,0.0
11.294999999999996,-0.38105712192917396,-4.961570434815085,-16.07696302000016,-55.769342950000734,0.0
11.304999999999996,-0.4684676888400035,-5.230925674170991,-15.652461810000148,-53.608074780000784,0.0
11.314999999999996,-0.5672665207288409,-5.450440212144535,-15.283019090000124,-51.31230796000082,0.0
11.324999999999996,-0.6576470801967615,-5.547506643656882,-14.956271020000116,-48.90708742000086,0.0
11.334999999999996,-0.6921183171544671,-5.585604735608241,-14.67304502000014,-46.39500794000134,0.0
11.344999999999995,-0.7463521000864695,-5.6047554304906155,-14.440163450000119,-43.82064003000138,0.0
11.354999999999995,-0.7920058827077239,-5.581273662381106,-14.251763930000092,-41.212973110001386,0.0
11.364999999999995,-0.8384043422630844,-5.509731807114943,-14.10158153000007,-38.60410717000138,0.0
11.374999999999995,-0.8897836773135728,-5.422607171615901,-14.011767540000049,-36.03533782000137,0.0
11.384999999999994,-0.9941018077325297,-5.298283265566028,-13.939984690000024,-33.539982750001315,0.0
11.394999999999994,-1.01660734221086,-5.060893999218586,-13.931067889999996,-31.164340990001246,0.0
11.404999999999994,-0.9536289275100832,-4.9156956538728815,-13.978300059999981,-28.948262920001156,0.0
11.414999999999994,-1.0443334160310378,-4.6342037190723575,-14.095147449999928,-26.92427132000105,0.0
11.424999999999994,-1.0192816793185597,-4.294093209464437,-14.273321399999856,-25.13635412000123,0.0
11.434999999999993,-0.9399586335085811,-3.889431962561494,-14.548394049999779,-23.607681520001048,0.0
11.444999999999993,-0.949158783906627,-3.4420142363739106,-14.877958249999745,-22.357239850000823,0.0
11.454999999999993,-0.91149665237072,-2.886456179325851,-15.300568029999711,-21.400956180000616,0.0
11.464999999999993,-0.8962862623078993,-2.259882684746778,-15.858798639999602,-20.68969464000045,0.0
11.474999999999993,-0.9428709991025632,-1.6427893685814852,-16.50414353999953,-20.273591800000258,0.0
11.484999999999992,-0.9949563273494304,-0.9622733774814474,-17.272236689999403,-20.106515220000112,0.0
11.494999999999992,-1.0211554504886815,-0.3784751366660302,-18.168817559999344,-20.154696919999925,0.0
11.504999999999992,-1.1554398562938573,0.22177435796002243,-19.22567131999902,-20.386887389999767,0.0
11.514999999999992,-1.3871514034317274,0.8012429372336198,-20.44676173999885,-20.75267016999969,0.0
11.524999999999991,-0.8831840567120186,1.3793911495269688,-21.84913560999871,-21.205924399999585,0.0
11.534999999999991,-0.3970236724149373,1.5728722773107005,-23.44674171999853,-21.69980107999956,0.0
11.544999999999991,0.054810138710074174,1.6790019962478582,-25.249207109998345,-22.201873739999556,0.0
11.55499999999999,0.3603756814731574,1.4630385927606087,-27.245936299998196,-22.71716806999952,0.0
11.56499999999999,-0.0044434665112160765,1.0538499383831788,-29.443765409998022,-23.165392859999635,0.0
11.57499999999999,-0.2844619586867908,0.9932910335764831,-31.873282769997825,-23.6344236599996,0.0
11.58499999999999,-0.3726135255196,1.148349035741738,-34.44548192999718,-24.059235599999525,0.0
11.59499999999999,-0.2610456636641652,1.2377217601371222,-37.140492179997096,-24.44424389999959,0.0
11.60499999999999,-0.21400556837317056,1.2039844454170174,-39.919946769997026,-24.798929649999636,0.0
11.61499999999999,-0.16607732409960702,1.1051987842021413,-42.729715239996985,-25.11851066999968,0.0
11.62499999999999,-0.16547218378204864,0.9809357692121027,-45.539976089997026,-25.411150779999705,0.0
11.63499999999999,-0.187400672394859,0.8851170523677665,-48.295734699997084,-25.67995070999973,0.0
11.644999999999989,-0.20577861422491833,0.8307492292912604,-50.95844150999721,-25.94358198999972,0.0
11.654999999999989,-0.21865145663168536,0.7722733937842511,-53.49882371999731,-26.18259622999969,0.0
11.664999999999988,-0.22826355549393382,0.6919974180695424,-55.88657256999748,-26.395760379999736,0.0
11.674999999999988,-0.24148762655216796,0.6397960252164658,-58.063331369997364,-26.601018769999747,0.0
11.684999999999988,-0.24223490492301503,0.6331167733703511,-60.00564481999766,-26.786002819999773,0.0
11.694999999999988,-0.23389214840877345,0.6203851258232425,-61.680941799998,-26.938437639999826,0.0
11.704999999999988,-0.24924190417986256,0.5741150430571241,-63.06229569999837,-27.04611230999988,0.0
11.714999999999987,-0.2731014988058017,0.5028346639793986,-64.11734151999877,-27.100173169999934,0.0
11.724999999999987,-0.2713014718809155,0.4231204041728441,-64.8447289199992,-27.109973010000033,0.0
11.734999999999987,-0.2651817686949162,0.3529514119208147,-65.23599161999961,-27.073676170000073,0.0
11.744999999999987,-0.2754824183114441,0.28575436428757334,-65.29768762000003,-26.961575150000133,0.0
11.754999999999987,-0.28559529797415933,0.23850903157043923,-65.04013673000047,-26.843982450000205,0.0
11.764999999999986,-0.292248680984264,0.19321445240701268,-64.4884647800009,-26.65149290000026,0.0
11.774999999999986,-0.28863808935260304,0.13788761546179235,-63.65512631000127,-26.439946770000358,0.0
11.784999999999986,-0.27573271353229367,0.09722128894164274,-62.561067990001646,-26.19023664000036,0.0
11.794999999999986,-0.2627394902407718,0.04945815906510776,-61.22534493000198,-25.906675650000413,0.0
